month	num_commons_files_used_content_pages	structured_data_used	wikidata_items	wikidata_items_being_reused
2020-07-01	33182261.0	102540679.0		
2020-08-01	33576054.0	104565582.0	88776242.0	18390627.0
2020-09-01	33815277.0	105631168.0	89386201.0	18472082.0
2020-10-01	32666244.0	106729592.0	90190671.0	18549227.0
2020-11-01	31481821.0	108116779.0	90821857.0	18673974.0
2020-12-01	30628535.0	109284793.0	91480812.0	18782123.0
2021-01-01	30922629.0	110336427.0	91898784.0	18890176.0
2021-02-01	31236223.0	111537756.0	92346206.0	18961132.0
2021-03-01	31994067.0	113749241.0	92766054.0	19081836.0
2021-04-01	32439596.0	115768032.0	93039049.0	19175909.0
2021-05-01	33188319.0	117023506.0	93295754.0	19272296.0
2021-06-01	33484828.0	117956153.0	93525712.0	19379045.0
2021-07-01	33853754.0	118873343.0	93808863.0	19464104.0
2021-08-01	35339547.0	120411293.0	94347261.0	19540328.0
2021-09-01	35748687.0	121413643.0	94646283.0	19640044.0
2021-10-01	36017280.0	123036144.0	95086219.0	19801319.0
2021-11-01	36208503.0	123918750.0	95420570.0	20031718.0
2021-12-01	36843454.0	124842611.0	95826220.0	20161422.0
2022-01-01	37096017.0	125887906.0	96153653.0	20266273.0
2022-02-01	37124441.0	127025510.0	96332960.0	20548393.0
2022-03-01	37488533.0	127991760.0	96647383.0	20647318.0
2022-04-01	37898030.0	128971911.0	96908499.0	20737630.0
2022-05-01	38288776.0	129875219.0	97267609.0	20815876.0
2022-06-01	38636121.0	131146802.0	97778126.0	20903956.0
